전철역코드,전철역명,전철명명(영문),호선,외부코드
1026,구룡,Guryong,분당선,k218
1208,덕소,Deokso,경의선,K126
1209,도심,Dosim,경의선,K127
1210,팔당,Paldang,경의선,K128
1211,운길산,Ungilsan,경의선,K129
1212,양수,Yangsu,경의선,K130
1213,신원,Sinwon,경의선,K131
1214,국수,Guksu,경의선,K132
1215,아신,Asin,경의선,K133
1216,오빈,Obin,경의선,K134
1217,양평,Yangpyeong,경의선,K135
1219,용문,Yongmun,경의선,K137
1220,지평,Jipyeong,경의선,K138
1251,서울역,Seoul Station,경의선,P313
1252,신촌,Sinchon,경의선,P312
1266,디지털미디어시티,Digital Media City,경의선,K316
1267,수색,Susaek,경의선,K317
1269,강매,Gangmae,경의선,K319
1270,행신,Haengsin,경의선,K320
1271,능곡,Neunggok,경의선,K321
1272,곡산,Goksan,경의선,K323
1273,백마,Baengma,경의선,K324
1275,일산,Ilsan,경의선,K326
1276,탄현,Tanhyeon,경의선,K327
1277,야당,Yadang,경의선,K328
1279,금릉,Geumneung,경의선,K330
1307,회기,Hoegi,경춘선,P118
1317,평내호평,PyeongnaeHopyeong,경춘선,P128
1318,천마산,Cheonmasan,경춘선,P129
1319,마석,Maseok,경춘선,P130
1320,대성리,Daeseong-ri,경춘선,P131
1321,청평,Cheongpyeong,경춘선,P132
1323,가평,Gapyeong,경춘선,P134
1408,신창,Sinchang,01호선,P177
1450,선바위,Seonbawi,04호선,435
1451,경마공원,Seoul Racecourse Park,04호선,436
1452,대공원,Seoul Grand Park,04호선,437
1453,과천,Gwacheon,04호선,438
1454,정부과천청사,Government Complex Gwacheon,04호선,439
1457,범계,Beomgye,04호선,442
1458,금정,Geumjeong,04호선,443
1503,삼동,Samdong,경강선,K412
1505,초월,Chowol,경강선,K414
1506,곤지암,Gonjiam,경강선,K415
1508,이천,Icheon,경강선,K417
1510,세종대왕릉,Sejongdaewangneung,경강선,K419
321,충무로,Chungmuro,03호선,331
325,옥수,Oksu,03호선,335
1030,수서,Suseo,분당선,K221
1504,경기광주,GyeonggiGwangju,경강선,K413
1702,가산디지털단지,Gasan Digital Complex,01호선,P142
1703,금천구청,Geumcheon-Gu Office,01호선,P144
1704,석수,Seoksu,01호선,P145
1705,관악,Gwanak,01호선,P146
1706,안양,Anyang,01호선,P147
1707,명학,Myeonghak,01호선,P148
1708,금정,Geumjeong,01호선,P149
1710,의왕,Uiwang,01호선,P152
1711,성균관대,Sungkyunkwan Univ.,01호선,P153
1712,화서,Hwaseo,01호선,P154
1714,독산,Doksan,01호선,P143
1715,세류,Seryu,01호선,P156
1716,병점,Byeongjeom,01호선,P157
1717,세마,Sema,01호선,P158
1718,오산대,Osan College,01호선,P159
1719,오산,Osan,01호선,P160
1721,송탄,Songtan,01호선,P162
1722,서정리,Seojeong-ri,01호선,P163
1724,평택,Pyeongtaek,01호선,P165
1725,성환,Seonghwan,01호선,P166
1726,직산,Jiksan,01호선,P167
1728,천안,Cheonan,01호선,P169
1749,서동탄,Seodongtan,01호선,P157-1
1750,광명,Gwangmyeong,01호선,P144-1
1751,산본,Sanbon,04호선,444
